PeriodEnd,PeriodStart,Period,AirTemp,CloudOpacity,Dhi,Dni,Ghi,PrecipitableWater,RelativeHumidity,SurfacePressure,WindDirection10m,WindSpeed10m
2018-12-31T02:00:00Z,2018-12-31T01:00:00Z,PT60M,9.1,0.0,0,0,0,9.1,91.6,782.7,76,2.3
2018-12-31T03:00:00Z,2018-12-31T02:00:00Z,PT60M,9.0,0.0,0,0,0,8.8,92.4,783.0,76,2.3
2018-12-31T04:00:00Z,2018-12-31T03:00:00Z,PT60M,9.9,2.4,5,17,6,8.8,86.8,783.4,78,2.5
2018-12-31T05:00:00Z,2018-12-31T04:00:00Z,PT60M,11.9,29.2,89,145,127,9.1,76.0,784.0,81,2.8
2018-12-31T06:00:00Z,2018-12-31T05:00:00Z,PT60M,13.9,3.8,85,786,409,9.3,66.7,784.5,83,3.1
2018-12-31T07:00:00Z,2018-12-31T06:00:00Z,PT60M,15.9,1.6,88,947,644,9.6,56.2,784.5,84,3.5
2018-12-31T08:00:00Z,2018-12-31T07:00:00Z,PT60M,17.9,7.2,193,797,773,10.0,45.6,784.1,85,4.1
2018-12-31T09:00:00Z,2018-12-31T08:00:00Z,PT60M,20.0,4.2,152,922,906,10.3,37.0,783.6,85,4.6
2018-12-31T10:00:00Z,2018-12-31T09:00:00Z,PT60M,21.4,1.0,91,1043,970,10.7,33.4,783.1,84,5.1
2018-12-31T11:00:00Z,2018-12-31T10:00:00Z,PT60M,22.1,0.0,69,1069,935,11.0,33.4,782.5,82,5.3
2018-12-31T12:00:00Z,2018-12-31T11:00:00Z,PT60M,22.9,0.0,68,1041,814,11.3,33.4,781.9,81,5.6
2018-12-31T13:00:00Z,2018-12-31T12:00:00Z,PT60M,22.6,0.0,64,989,628,11.4,33.2,781.8,80,5.5
2018-12-31T14:00:00Z,2018-12-31T13:00:00Z,PT60M,21.3,0.0,56,881,394,11.2,32.8,782.2,80,5.0
2018-12-31T15:00:00Z,2018-12-31T14:00:00Z,PT60M,20.0,0.0,36,584,142,11.0,32.4,782.6,80,4.4
2018-12-31T16:00:00Z,2018-12-31T15:00:00Z,PT60M,18.6,0.0,2,17,4,10.6,33.9,783.1,79,4.0
2018-12-31T17:00:00Z,2018-12-31T16:00:00Z,PT60M,17.1,0.0,0,0,0,10.1,37.7,783.8,78,3.7
2018-12-31T18:00:00Z,2018-12-31T17:00:00Z,PT60M,15.6,0.0,0,0,0,9.6,42.0,784.4,77,3.5
2018-12-31T19:00:00Z,2018-12-31T18:00:00Z,PT60M,14.3,0.0,0,0,0,9.2,46.2,784.7,76,3.2
2018-12-31T20:00:00Z,2018-12-31T19:00:00Z,PT60M,13.2,0.0,0,0,0,9.0,50.1,784.7,75,3.0
2018-12-31T21:00:00Z,2018-12-31T20:00:00Z,PT60M,12.1,0.0,0,0,0,8.7,54.3,784.6,74,2.7
2018-12-31T22:00:00Z,2018-12-31T21:00:00Z,PT60M,11.1,0.0,0,0,0,8.4,58.7,784.4,72,2.5
2018-12-31T23:00:00Z,2018-12-31T22:00:00Z,PT60M,10.1,0.0,0,0,0,8.2,63.2,784.2,69,2.4
2019-01-01T00:00:00Z,2018-12-31T23:00:00Z,PT60M,9.1,0.0,0,0,0,7.9,68.1,783.9,65,2.4
2019-01-01T01:00:00Z,2019-01-01T00:00:00Z,PT60M,8.4,0.0,0,0,0,7.7,71.7,783.8,65,2.4
2019-01-01T02:00:00Z,2019-01-01T01:00:00Z,PT60M,7.8,0.0,0,0,0,7.6,73.8,784.0,67,2.5
2019-01-01T03:00:00Z,2019-01-01T02:00:00Z,PT60M,7.2,0.0,0,0,0,7.6,75.8,784.2,69,2.6
2019-01-01T04:00:00Z,2019-01-01T03:00:00Z,PT60M,8.1,0.6,5,28,7,7.7,71.0,784.5,73,2.6
2019-01-01T05:00:00Z,2019-01-01T04:00:00Z,PT60M,10.5,2.1,45,581,165,7.9,60.6,785.1,79,2.6
2019-01-01T06:00:00Z,2019-01-01T05:00:00Z,PT60M,13.0,0.0,64,887,422,8.2,52.0,785.6,86,2.5
2019-01-01T07:00:00Z,2019-01-01T06:00:00Z,PT60M,15.3,0.0,73,992,656,8.4,44.3,785.6,90,2.7
2019-01-01T08:00:00Z,2019-01-01T07:00:00Z,PT60M,17.5,0.0,75,1046,837,8.8,37.6,785.0,92,3.0
2019-01-01T09:00:00Z,2019-01-01T08:00:00Z,PT60M,19.7,0.0,74,1073,950,9.1,32.0,784.4,93,3.3
2019-01-01T10:00:00Z,2019-01-01T09:00:00Z,PT60M,21.3,0.0,73,1081,986,9.4,29.6,783.7,93,3.4
2019-01-01T11:00:00Z,2019-01-01T10:00:00Z,PT60M,22.3,0.0,71,1074,942,9.7,29.7,783.0,91,3.5
